id;kategori;bahan makanan;menu rekomendasi;deskripsi;image
1;apple pie;apple, flour, sugar, butter, cinnamon;apple pie, bread pudding, pancakes, waffles, carrot cake;Pai klasik dengan potongan apel manis, kayu manis, dan kulit pastry renyah;
2;baby back ribs;pork ribs, barbecue sauce, spices;baby back ribs, pulled pork sandwich, pork chop;Iga babi empuk dengan saus barbekyu smoky dan bumbu kaya rasa;
3;baklava;phyllo dough, honey, nuts, butter;baklava, cannoli, croque madame;Hidangan manis berlapis phyllo, diisi kacang, dan disiram sirup madu;
4;beef carpaccio;beef, olive oil, parmesan, arugula;beef carpaccio, beef tartare, steak;Irisan daging sapi mentah tipis dengan parmesan, arugula, dan minyak zaitun;
5;beef tartare;beef, egg yolk, capers, onions;beef tartare, tuna tartare, carpaccio;Daging sapi cincang segar dicampur kuning telur, caper, dan bawang;
6;beet salad;beets, goat cheese, walnuts, greens;beet salad, caprese salad, greek salad;Salad segar dengan bit, keju kambing, kenari, dan sayuran hijau;
7;beignets;flour, sugar, yeast, oil;beignets, donuts, churros;Donat Prancis yang lembut, digoreng, dan ditaburi gula halus;
8;bibimbap;rice, beef, egg, vegetables, gochujang;bibimbap, fried rice, risotto;Nasi Korea dengan sayuran, daging, telur, dan saus gochujang pedas;
9;bread pudding;bread, milk, eggs, sugar, raisins;bread pudding, french toast, pancakes;Hidangan penutup lembut dari roti tua yang direndam dalam campuran susu dan telur;
10;breakfast burrito;tortilla, eggs, beans, cheese, salsa;breakfast burrito, huevos rancheros, tacos;Burrito sarapan berisi telur, kacang, keju, dan salsa dalam tortilla hangat;
11;bruschetta;bread, tomatoes, garlic, basil;bruschetta, caprese salad, garlic bread;Roti panggang dengan topping tomat segar, bawang putih, dan daun basil;
12;caesar salad;romaine, croutons, parmesan, Caesar dressing;caesar salad, greek salad, seaweed salad;Salad segar dengan daun romaine, crouton, parmesan, dan saus Caesar creamy;
13;cannoli;ricotta, sugar, chocolate, pastry shell;cannoli, cheesecake, tiramisu;Kue pastry renyah diisi dengan ricotta manis dan potongan cokelat;
14;caprese salad;tomatoes, mozzarella, basil, olive oil;caprese salad, bruschetta, pizza;Salad sederhana dengan tomat, mozzarella segar, dan daun basil;
15;carrot cake;carrots, flour, sugar, walnuts, cream cheese;carrot cake, red velvet cake, cheesecake;Kue lembut dengan wortel parut dan frosting cream cheese manis;
16;ceviche;fish, lime, onion, cilantro, chili;ceviche, sashimi, tuna tartare;Hidangan seafood segar yang dimasak dengan air jeruk nipis dan bumbu aromatik;
17;cheese plate;cheese, nuts, fruits, honey;cheese plate, cheesecake, croque madame;Piring keju dengan paduan kacang, buah, dan madu untuk rasa yang seimbang;
18;cheesecake;cream cheese, sugar, eggs, graham cracker;cheesecake, cannoli, tiramisu;Kue keju lembut dengan dasar cracker graham dan topping favorit;
19;chicken curry;chicken, curry paste, coconut milk;chicken curry, ramen, pho;Kari ayam kaya rasa dengan santan dan rempah-rempah aromatik;
20;chicken quesadilla;chicken, cheese, tortilla, salsa;chicken quesadilla, tacos, enchiladas;Tortilla panggang berisi ayam, keju leleh, dan salsa segar;
